ID Lote,Variante,Lote,Fecha de Caducidad,Unidades Perdidas
01KQ65K5H9BKH3TME7Q1P38TXA,"Variante variant_01KQ65K5FJWCDJAEKYB5KB0B6A","202503B",Fri Feb 28 1930 00:00:00 GMT-0600 (hora estándar central),65
01KQ65K5SKN9FMXTA556PGXE5A,"Variante variant_01KQ65K5RE4A9452G6Z17F99FF","2508035",Sun Apr 26 2026 18:31:56 GMT-0600 (hora estándar central),90
01KQ65K69SSMVKCR7NS47CBD33,"Variante variant_01KQ65K68ENMHSXHR9ST6HGCZG","4A275005",Thu Jul 31 1930 00:00:00 GMT-0600 (hora estándar central),6
01KQ65K6D50FNJTKRXG4TR7MWT,"Variante variant_01KQ65K6C24EQE97GJVJ3SMX50","202510V",Sun Apr 26 2026 18:31:57 GMT-0600 (hora estándar central),1
01KQ65K7GXB3VD8KNZ9NVBXJXP,"Variante variant_01KQ65K7FPSG8PNCDQT4VD3N1S","25J25A",Sun Apr 26 2026 18:31:58 GMT-0600 (hora estándar central),44
01KQ65K7VBDHQFGF6H3PNCMM73,"Variante variant_01KQ65K7T8A73X1ZFSDP8V54X5","75061239101 32",Sun Apr 26 2026 18:31:58 GMT-0600 (hora estándar central),3
01KQ65K7WT4VXY7GEKAVQTTKWK,"Variante variant_01KQ65K7VWYZ12D9RFTBQHTFBG","750612391111 5",Sun Apr 26 2026 18:31:58 GMT-0600 (hora estándar central),2
01KQ65K7YCM8PNASY550MY8H47,"Variante variant_01KQ65K7XCDNAFHX5P4WFHBW5A","75061239101 63",Sun Apr 26 2026 18:31:58 GMT-0600 (hora estándar central),2
01KQ65K801E538XWGS9SN17T8Z,"Variante variant_01KQ65K7YYEC3SP2QAHMHT8ZGP","75061239101 56",Sun Apr 26 2026 18:31:58 GMT-0600 (hora estándar central),4
01KQ65K81KXZMGHFXZKDBEK9NT,"Variante variant_01KQ65K80KWSQRBBHR0NAJ7B79","75061239111 39",Sun Apr 26 2026 18:31:59 GMT-0600 (hora estándar central),1
01KQ65K836NXRAJTHCB2FDHK50,"Variante variant_01KQ65K824CHNGRJGRP7JJAPNX","75061239101 49",Sun Apr 26 2026 18:31:59 GMT-0600 (hora estándar central),1
01KQ65K84VMTT5C9GMT3C6CWEQ,"Variante variant_01KQ65K83VMMHB7XQCXB2BEPYZ","75061239111 22",Sun Apr 26 2026 18:31:59 GMT-0600 (hora estándar central),3
01KQ65K8ETVQFTD801S7P6M5RJ,"Variante variant_01KQ65K8DQM65CHSQY17BP417X","75020131903 25",Sun Apr 26 2026 18:31:59 GMT-0600 (hora estándar central),3
